THE_DELTA_T_HPT,THE_DELTA_T_HPT,THE_DELTA_T_HPT,THE_DELTA_T_HPT,THE_DELTA_T_HPT,PR_HPC,THE_DELTA_T_HPT,PR_HPC_RMS,THE_DELTA_T_HPT,PR_HPC_RMS
-0.3428910083363407,-0.3428910083363407,-0.3428910083363407,-0.3428910083363407,-0.3428910083363407,11.134400396466638,-0.3428910083363407,11.19318341046444,-0.3428910083363407,11.19318341046444
-0.35652300645793056,-0.35652300645793056,-0.35652300645793056,-0.35652300645793056,-0.35652300645793056,11.158915458532327,-0.35652300645793056,11.191867352471204,-0.35652300645793056,11.191867352471204
-0.3566131680050351,-0.3566131680050351,-0.3566131680050351,-0.3566131680050351,-0.3566131680050351,11.16191858074777,-0.3566131680050351,11.190759567973801,-0.3566131680050351,11.190759567973801
-0.3356705656686703,-0.3356705656686703,-0.3356705656686703,-0.3356705656686703,-0.3356705656686703,10.51021748909415,-0.3356705656686703,11.167168658600122,-0.3356705656686703,11.167168658600122
-0.33929250094978847,-0.33929250094978847,-0.33929250094978847,-0.33929250094978847,-0.33929250094978847,10.661094627838875,-0.33929250094978847,11.150100204363588,-0.33929250094978847,11.150100204363588
-0.33884029778193464,-0.33884029778193464,-0.33884029778193464,-0.33884029778193464,-0.33884029778193464,11.648150448779429,-0.33884029778193464,11.167059761236048,-0.33884029778193464,11.167059761236048
-0.3358974229586037,-0.3358974229586037,-0.3358974229586037,-0.3358974229586037,-0.3358974229586037,11.550144819227222,-0.3358974229586037,11.179622240538796,-0.3358974229586037,11.179622240538796
-0.32981536113143484,-0.32981536113143484,-0.32981536113143484,-0.32981536113143484,-0.32981536113143484,11.316829812486205,-0.32981536113143484,11.183935456828827,-0.32981536113143484,11.183935456828827
-0.34202521123148616,-0.34202521123148616,-0.34202521123148616,-0.34202521123148616,-0.34202521123148616,11.132429917092647,-0.34202521123148616,11.182378168403798,-0.34202521123148616,11.182378168403798
-0.35416051000740856,-0.35416051000740856,-0.35416051000740856,-0.35416051000740856,-0.35416051000740856,11.128200021335717,-0.35416051000740856,11.1807884406484,-0.35416051000740856,11.1807884406484
-0.3286834190141231,-0.3286834190141231,-0.3286834190141231,-0.3286834190141231,-0.3286834190141231,10.139765778537997,-0.3286834190141231,11.152393561535009,-0.3286834190141231,11.152393561535009
-0.3387716733160145,-0.3387716733160145,-0.3387716733160145,-0.3387716733160145,-0.3387716733160145,10.570491531401363,-0.3387716733160145,11.136640185682987,-0.3387716733160145,11.136640185682987
