snap_index,esn,snap,esn_index,global_index,ww_cycle_index,hpc_cycle_index,hpt_cycle_index,ww_cycle,hpc_cycle,hpt_cycle,to_next_ww,to_next_hpc_cycle,to_next_hpt_cycle,Altitude,Mach,Pamb,Pt2,TAT,WFuel,VAFN,VBV,Fan_Speed,Core_Speed,T25,T3,Ps3,T45,P25,T5,fault_ww_cycle,fault_hpc_cycle,fault_hpt_cycle
0,101,1,0,0,0,0,0,0,0,0,910,8510,4090,851.3215158873453,0.1032239689575395,14.2504748711415,14.289458715934092,535.4063064064308,1.211454567348215,6228.393354610889,0.0,1900.287777714197,21261.365606656167,744.0091960289611,1609.417020977395,474.15886197290456,2173.31657523004,40.06580977518913,1415.4774704986305,0,0,0
1,101,1,7,7,1,1,1,0,0,0,900,8500,4080,883.3215158873453,0.1027829690920076,14.234707308190035,14.27270641855971,542.6097469922291,1.211839541622502,6237.163360012758,0.0,1907.2196614824984,21383.342723423124,753.1758862704538,1626.3642403221468,470.8478218017894,2196.7483041227965,39.881530361463206,1434.0154941012672,0,0,0
2,101,1,14,14,2,2,2,0,0,0,890,8490,4070,292.3215158873453,0.1038539677010736,14.525914486449889,14.567031768889766,531.813458549899,1.224338361361965,6230.385329796864,0.0,1890.7062579287592,21181.955005856587,738.5973378663192,1598.517845800592,481.94096460375056,2156.9844544828848,40.75413031658714,1404.7251613544656,0,0,0
3,101,1,21,21,3,3,3,0,0,0,880,8480,4060,537.3215158873453,0.1034759699450693,14.405194082602742,14.44514755256356,534.0593413461888,1.224705685244196,6225.945886918756,0.0,1899.1765499153205,21239.14084944068,742.3808442261865,1606.4540386723831,479.80978233468136,2169.699114579838,40.539378984020864,1412.5612986815406,0,0,0
4,101,1,29,29,4,4,4,0,0,0,870,8470,4050,-280.6784841126547,0.1028459637509546,14.830054196842848,14.869782433374688,509.7022993242169,1.1320836774966192,6303.70337936357,0.0,1797.1873662652422,20574.91379627131,700.5514135295684,1516.2586387507456,467.1610334086339,2030.0281674194791,40.10602674329178,1329.9535464106862,0,0,0
5,101,1,36,36,5,5,5,0,0,0,860,8460,4040,203.32151588734527,0.1029719679700097,14.569768020908649,14.609074089453063,544.4172048089506,1.227857197810749,6248.742504093914,0.0,1900.6961093107384,21388.41539927864,754.3732612731998,1627.3284736845328,477.39267076387006,2196.714900954293,40.57687803950755,1436.951333443954,0,0,0
6,101,1,43,43,6,6,6,0,0,0,850,8450,4030,1061.3215158873452,0.1019009693609437,14.147000239272518,14.182905881265333,531.7712356005983,1.211674279370511,6221.275810063132,0.0,1902.771110507576,21216.140787445445,740.4153259130447,1603.5332884499428,474.3918502228256,2168.273816877665,40.01642229586042,1409.4598696352552,0,0,0
7,101,1,50,50,7,7,7,0,0,0,840,8440,4020,1009.3215158873452,0.1042319654570779,14.172622529068647,14.213551613560831,534.5267497140748,1.2203369254873688,6212.152958984756,0.0,1908.9757897960544,21274.032400048138,744.4449247759223,1611.5275411543414,475.8668663432965,2180.104203086464,40.142869703843246,1417.481501480544,0,0,0
8,101,1,58,58,8,8,8,0,0,0,830,8430,4010,849.3215158873453,0.103790965591546,14.251460343825968,14.291664982258135,538.1237174028951,1.2066818527221157,6234.645518847614,0.0,1898.6765754742955,21292.694460978717,747.1170731794529,1614.2897410526602,470.99671507133775,2180.9728737499545,39.94299591722973,1423.0592428223845,0,0,0
9,101,1,66,66,9,9,9,0,0,0,820,8420,4000,1920.3215158873447,0.103727970932599,13.723739721294155,13.762324966924815,523.2450619806665,1.177705455028788,6204.041939389249,0.0,1896.328591234747,21073.019054396216,729.970093760759,1584.1066975040346,464.2491447757496,2143.532298702828,39.07046240665953,1389.2592573467136,0,0,0
10,101,1,74,74,10,10,10,0,0,0,810,8410,3990,512.3215158873453,0.1032869710670671,14.417512491158574,14.457089873416722,533.1535764727122,1.2211832277233776,6229.812189737741,0.0,1895.0062741838508,21212.34239414317,740.9680062685653,1603.2040553889683,478.79175004770633,2166.1292068712914,40.52855755617855,1410.956615940138,0,0,0
11,101,1,82,82,11,11,11,0,0,0,800,8400,3980,952.3215158873452,0.1029089658604822,14.200708500575942,14.238884812861803,534.4978079905742,1.220884034850317,6218.03050069513,0.0,1907.642951635438,21269.380174628022,744.3126517967129,1611.0832903452686,476.0034554119631,2179.971609291271,40.18971999175642,1417.9050542671023,0,0,0
12,101,1,89,89,12,12,12,0,0,0,790,8390,3970,1110.3215158873452,0.1019009693609437,14.122856158503089,14.158700521871063,493.4551218896237,1.0868444284933316,6281.762622260451,0.0,1787.392277443737,20304.60548394757,680.9834743812216,1480.6313494229596,453.86785444531006,1986.6158428316123,38.71037765338617,1293.467761857608,0,0,0
13,101,1,96,96,13,13,13,0,0,0,780,8380,3960,848.3215158873453,0.10271996698248,14.2519530801682,14.289863881865267,520.9695389815929,1.1908385559976034,6230.855778147114,0.0,1873.860478127276,20972.86013229193,724.2787438198449,1570.6286402586657,473.7374922185389,2120.6670118762263,40.08076951831844,1378.3780747025448,0,0,0
14,101,1,104,104,14,14,14,0,0,0,770,8370,3950,1168.3215158873452,0.1024679659949502,14.09427745065356,14.131238237524954,516.0054951419706,1.169938768593107,6232.496023503533,0.0,1864.28219615053,20871.43089541468,717.3471157010999,1556.925279667295,468.3075345845933,2101.5893858397426,39.6204925767892,1364.9987104269026,0,0,0
15,101,1,112,112,15,15,15,0,0,0,760,8360,3940,821.3215158873453,0.1020269661294183,14.2652569614085,14.30172956769194,505.1776486949599,1.1296353063633178,6267.435592830878,0.0,1819.0852615396984,20574.15250027747,698.7707344433423,1516.9146263456166,462.6618206485042,2040.0381319987343,39.40905618993269,1328.5902198239944,0,0,0
16,101,1,119,119,16,16,16,0,0,0,750,8350,3930,849.3215158873453,0.103790965591546,14.251460343825968,14.291664982258135,538.1237174028951,1.2075814779148664,6234.645518847614,0.0,1898.6765754742955,21291.396978711604,747.3439020131111,1614.6235160865915,470.66822232207073,2183.242366550096,39.96894577519878,1424.90898874594,0,0,0
17,101,1,127,127,17,17,17,0,0,0,740,8340,3920,-18.67848411265472,0.1030349700795373,14.680557032289,14.720300717708342,532.6972838727041,1.25014326745209,6224.94472500023,0.0,1898.6716832915645,21217.319115588063,741.0929433248344,1604.1768947367195,489.2761580993909,2169.3647679564087,41.3974369002248,1412.1105672360468,0,0,0
18,101,1,134,134,18,18,18,0,0,0,730,8330,3910,747.3215158873453,0.105869968150731,14.30171945073376,14.346606480834332,524.6440743332454,1.3038529111905586,6127.469079840438,0.0,1938.2101043910804,21245.843606278133,737.2916501540735,1607.541955201503,504.17469406334845,2188.301634913311,41.7212524531007,1409.2548636097094,0,0,0
19,101,1,142,142,19,19,19,0,0,0,720,8320,3900,1282.3215158873452,0.1017749651418886,14.038105507638967,14.073472510639965,557.9150045721481,1.1878010677105302,6266.662756692558,0.0,1912.988109908324,21609.218848474866,771.8342851255662,1659.0468079351128,454.3453416188856,2244.465539041218,38.88480889395623,1475.1111808826056,0,0,0
20,101,1,149,149,20,20,20,0,0,0,710,8310,3890,496.3215158873453,0.1040429665790758,14.425396272634304,14.466641801356069,540.3834802883439,1.2218329207830008,6237.051326354084,0.0,1900.082607264862,21327.96342377752,750.1633228720706,1619.83608753079,475.0802887367457,2190.718049372275,40.39363756043765,1431.1142935584037,0,0,0
21,101,1,156,156,21,21,21,0,0,0,700,8300,3880,341.3215158873453,0.1029719679700097,14.50177040568046,14.540893031432844,528.1877937693155,1.218959149482828,6233.285082728706,0.0,1884.2502434490136,21108.02271295434,734.1001043942916,1589.5059095145696,480.39493301840406,2148.328525671128,40.73696802553405,1399.0795712088532,0,0,0
22,101,1,164,164,22,22,22,0,0,0,690,8290,3870,-242.67848411265476,0.1018379672514162,14.80837140198389,14.84581726131145,523.6556716413089,1.199182095626995,6268.082721203103,0.0,1852.0550756538844,20943.989479214044,724.4514590557388,1567.2290647678471,479.392973703193,2111.6551906087075,40.93548273819963,1379.9889118025912,0,0,0
23,101,1,171,171,23,23,23,0,0,0,680,8280,3860,676.3215158873453,0.1038539677010736,14.33670373103232,14.377285430526394,511.0757316332206,1.1549733983948278,6252.265736343951,0.0,1836.5638434360387,20713.789333927285,708.1050584910059,1536.1456884861773,467.7361243736272,2069.949697388513,39.82782468265252,1348.0859538884338,0,0,0
24,101,1,178,178,24,24,24,0,0,0,670,8270,3850,-175.67848411265473,0.1036649688230714,14.770141211048369,14.811527950115618,509.7193500384053,1.1434421417124592,6289.403254021111,0.0,1805.9751858598368,20601.032821065903,702.2993655126864,1520.8436785470117,468.6380504826346,2042.4340119963128,40.24344838966968,1336.7292429808492,0,0,0
25,101,1,185,185,25,25,25,0,0,0,660,8260,3840,93.32151588734529,0.1030979647384843,14.623969018554307,14.663697774355493,521.4283567322473,1.251294738283644,6206.851750395225,0.0,1892.401006835824,21037.25734055548,727.5798472104383,1579.851606851258,493.8074828516532,2138.9189603567465,41.61654740976487,1386.4909971411607,0,0,0
26,101,1,192,192,26,26,26,0,0,0,650,8250,3830,952.3215158873452,0.1029089658604822,14.200708500575942,14.238884812861803,534.4978079905742,1.222625204632765,6218.03050069513,0.0,1907.642951635438,21267.030541905464,744.7474181121693,1611.7878456352066,475.4248992981738,2184.285882381935,40.2388554754496,1421.4101173964386,0,0,0
27,101,1,199,199,27,27,27,0,0,0,640,8240,3820,872.3215158873453,0.10271996698248,14.240127407954605,14.278006752860328,525.0267514925326,1.2322102906667782,6202.349950109459,0.0,1903.3636864517805,21121.401040345387,733.3023588307648,1591.6230981006888,482.7655426602015,2158.0167139129453,40.65815895328094,1398.8984409084253,0,0,0
