snap_index,esn,snap,esn_index,global_index,ww_cycle_index,hpc_cycle_index,hpt_cycle_index,ww_cycle,hpc_cycle,hpt_cycle,to_next_ww_cycle,to_next_hpc_cycle,to_next_hpt_cycle,Altitude,Mach,Pamb,Pt2,TAT,WFuel,VAFN,VBV,Fan_Speed,Core_Speed,T25,T3,Ps3,T45,P25,T5,fault_ww_cycle,fault_hpc_cycle,fault_hpt_cycle
0,101,8,6,6,0,0,0,0,0,0,910,8510,4090,10998.160757943671,0.2980364955537896,3.114829792676643,3.9478786822289673,244.90526776260103,0.21039668991287694,2191.3599690147216,0.0151939872099287,788.2892003564216,9686.169260387753,326.68733216942553,680.4314005146415,96.14509259334032,892.5601154867599,9.514488106683048,586.7254983421461,0,0,0
1,101,8,13,13,1,1,1,0,0,0,900,8500,4080,20001.857212709874,0.5375273858822792,4.385815595829354,5.909004322178033,395.1749617365954,0.3969269289789648,3537.2669694403444,0.006077594883971478,1391.6633513950187,15971.941971685474,548.2346423083441,1151.4065653452496,171.24492843710908,1529.9180502865313,16.279971992666642,966.9226662041268,0,0,0
2,101,8,20,20,2,2,2,0,0,0,890,8490,4070,21847.06601466524,0.5954212953628725,5.360376599903017,7.062622840421045,462.13365386356907,0.4559471888709167,4092.1434194948924,0.005083641616735983,1585.2320487333802,18461.095364743167,636.1642778646573,1332.2786702926967,197.49345454517353,1765.10743250274,18.938374659410186,1126.8461161798248,0,0,0
3,101,8,28,28,3,3,3,0,0,0,880,8480,4060,26265.253236008306,0.6757874798740917,4.879831100679496,6.704579826851043,474.1619898383258,0.4685371766685702,4303.0356090844325,0.0019437453240461113,1713.287815926911,19374.14287532994,663.8799047340683,1396.8965450347084,201.1863319233173,1863.5105909752087,19.02925067467116,1166.386408151714,0,0,0
4,101,8,35,35,4,4,4,0,0,0,870,8470,4050,27343.048240427936,0.6336503608004821,4.829023300915335,6.3531967238285745,468.50298205078207,0.42870586890124346,4437.850153508369,0.0009840429527838237,1693.53676260973,19368.681935016357,652.2483678744386,1375.724980390868,187.16233999246373,1839.2545805554776,17.704749059086065,1160.770353486209,0,0,0
5,101,8,42,42,5,5,5,0,0,0,860,8460,4040,26501.466058737613,0.6572271797969312,5.081865179749453,6.792840242602215,481.948261859891,0.48059672420758975,4461.9889559264475,0.00037587906780154647,1751.7492947076153,19804.331140317852,674.9042847526691,1424.153156294876,206.15946934932762,1904.1481424679762,19.350875542219327,1194.725353168058,0,0,0
6,101,8,49,49,6,6,6,0,0,0,850,8450,4030,24950.732464221954,0.6584068666773705,5.471559226533181,7.304821748874345,490.67548151978747,0.49561214570333906,4443.083310855418,0.0023920507434177676,1739.3226577839014,19913.55293348848,682.1725982694365,1434.5765637266284,213.79029150033404,1909.1607596675178,20.27491518739895,1205.6516522179527,0,0,0
7,101,8,57,57,7,7,7,0,0,0,840,8440,4020,28692.055190579962,0.6768459742425448,4.675656866832249,6.327759043160613,470.05890433306394,0.42568642692477854,4425.989059500334,0.0009136825006166804,1709.8684382462866,19507.03554429846,655.9872895098928,1381.7372423041054,186.52935583966155,1846.9950031254173,17.743288566202356,1159.5393151209573,0,0,0
8,101,8,65,65,8,8,8,0,0,0,830,8430,4010,28885.664419136352,0.695336294706741,4.617319151831441,6.35497375838115,467.4939666343622,0.4293092011679142,4409.898755382936,0.0003489956836844866,1713.937548889253,19484.191675011574,653.8480675006512,1377.989242162476,188.96434052259332,1840.5368452721018,17.96725094081991,1150.5578638668524,0,0,0
9,101,8,73,73,9,9,9,0,0,0,820,8420,4000,28958.380503506938,0.7128338730553077,4.595304623019955,6.426549539508226,472.9992652118516,0.45180658885605546,4418.366597588414,0.000133304490543106,1749.7969026898716,19678.244567034493,665.278813782385,1403.0408169176217,196.2528666687835,1876.5317267339565,18.547445634536967,1166.541022279297,0,0,0
